Date:,15/02/2026
"Start Time:",08:59:01
"Unix Start Time:",1771156741
Duration:,12002
"Num Players:",22
"Num Periods:",6
"Num Parameters:",40
"Logo Path:",https://clprototype.s3.amazonaws.com//titan/upload/file/alt/iBrbPVtqUr0rpueQnx3Sy1BKGkmcDNKtcIoExzgT.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAWE24RTRBE46FX3JB%2F20260216%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260216T234207Z&X-Amz-SignedHeaders=host&X-Amz-Expires=-1770680527&X-Amz-Signature=46f2cac800767e03d244ce38165cc3af421a7632cece2eb0ed6d8d3be1934b3d
,
"Player Name","Period Name","Period Number","Max Acceleration","Max Deceleration","Acceleration Efforts","Deceleration Efforts","Accel + Decel Efforts","Accel + Decel Efforts Per Minute",Duration,Distance,"Player Load","Max Velocity","Max Vel (% Max)","Meterage Per Minute","Player Load Per Minute","Work/Rest Ratio","Max Heart Rate","Avg Heart Rate","Max HR (% Max)","Avg HR (% Max)","HR Exertion","Red Zone","Heart Rate Band 1 Duration","Heart Rate Band 2 Duration","Heart Rate Band 3 Duration","Heart Rate Band 4 Duration","Heart Rate Band 5 Duration","Heart Rate Band 6 Duration",Energy,"High Metabolic Load Distance","Standing Distance","Walking Distance","Jogging Distance","Running Distance","HI Distance","Sprint Distance","Sprint Efforts","Sprint Dist Per Min","High Speed Distance","High Speed Efforts","High Speed Distance Per Minute",Impacts,
"Matheus Arcanjo",Session,0,5.13,-6.14,40,45,85,0.65,02:11:22,8506.55,804.66,33.69,100,64.75,6.12,0.09,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,936.05,1119.44,238.28,4671.55,2298.45,782.37,353.38,161.34,5,1.23,514.72,31,3.92,96,
"Gabriel Bozzolan",Session,0,4.32,-4.39,13,10,23,0.65,00:35:21,1940.13,240.59,27.04,80.9,54.88,6.81,0.08,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,177.73,515.16,106.01,879.82,325.17,153.5,325.6,149.41,6,4.23,475.01,13,13.44,23,
"Bruno Carcaioli",Session,0,3.49,-3.87,8,3,11,0.31,00:35:21,1756.59,151.93,24.47,100,49.69,4.3,0.05,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,155.91,260.53,80.4,985.71,312.87,132.05,245.77,0,0,0,245.77,7,6.95,8,
"Caio Dias",Session,0,4.13,-6.49,21,31,52,0.4,02:11:22,10986.37,1084.97,29.59,82.19,83.62,8.26,0.13,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,983.33,1270.96,202.15,5618.18,3509.03,1273.71,347.15,35.33,3,0.27,382.48,19,2.91,61,
"Miguel Elias",Session,0,4.25,-5.42,26,39,65,0.49,02:11:22,10929.25,1049.43,29.49,95.67,83.19,7.99,0.15,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,931.55,1497.14,153.25,5462.34,3152.52,1599.23,490,71.37,3,0.54,561.37,32,4.27,116,
"Camilo Farias",Session,0,4.29,-4.67,17,19,36,0.27,02:11:22,10369.07,937.86,29.13,96.88,78.92,7.14,0.11,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,909.73,1196.77,160.2,5743.43,2879.11,1048.86,443.67,93.57,6,0.71,537.24,30,4.09,77,
"Gabriel Fonseca Rodrigues",Session,0,4.75,-5,15,12,27,0.33,01:21:31,3624.39,430.03,28.94,90.66,44.46,5.28,0.05,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,316.84,370.8,187.86,2034.38,957.26,287.21,123.18,34.5,2,0.42,157.68,9,1.93,48,
"Mauri Franco",Session,0,4.55,-4.84,15,25,40,0.49,01:21:31,6481.65,635.85,29.35,90.18,79.51,7.8,0.12,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,500.47,864.13,154.93,3282.77,1870.84,646.46,372.57,154.08,7,1.89,526.65,19,6.46,42,
"Lucas Franco",Session,0,4.04,-6.03,16,25,41,0.54,01:15:58,5774.67,583.46,27.63,87.99,76,7.68,0.12,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,557.77,890.96,132.6,2938.86,1456.19,828.73,357.42,60.08,3,0.79,417.5,22,5.49,62,
"Jean Gaucho",Session,0,4.71,-4.5,22,18,40,0.49,01:21:31,4741.44,572.94,29.16,89.92,58.16,7.03,0.08,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,464.33,682.24,180.52,2381.72,1369.15,458.61,230.28,121.05,4,1.48,351.33,13,4.31,35,
"Enzo Mendes",Session,0,3.94,-4.92,11,6,17,0.48,00:35:21,1963.77,224.13,25.08,80.42,55.55,6.34,0.07,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,193.74,457,90.9,1026.86,256.02,135.66,453.47,0,0,0,453.47,12,12.83,2,
"José Mendes",Session,0,4.2,-6.05,12,15,27,0.21,02:11:22,7953.61,860.28,31.59,100,60.54,6.55,0.09,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,810.98,889.74,232.67,3745.07,2774.97,792.11,281.17,124.49,5,0.95,405.66,20,3.09,73,
"Andryl Miguel",Session,0,3.76,-3.6,8,9,17,0.21,01:21:31,3691.84,452.27,26.33,78.48,45.29,5.55,0.05,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,385.19,354.77,175.04,2062.68,1019.3,284.07,142.31,8.45,1,0.1,150.76,8,1.85,45,
"William Monteiro",Session,0,4.23,-5.2,31,37,68,0.52,02:11:22,11831.3,1107.01,27.29,89.53,90.05,8.43,0.18,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1065.8,1507.53,168.31,5325.79,4224.04,1591.5,479.59,40.61,3,0.31,520.2,31,3.96,68,
"Samuel Oliveira Souza",Session,0,3.85,-4.1,10,6,16,0.45,00:35:21,1867.2,208.98,26.54,87.56,52.82,5.91,0.07,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,180.17,413.86,121.19,883.44,309.25,126.37,363.75,62.51,4,1.77,426.26,12,12.06,5,
"Kauan Otávio",Session,0,4.4,-6.37,10,10,20,0.25,01:21:31,4221.93,480.01,27.03,81.83,51.79,5.89,0.08,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,376.92,534.84,168.84,1890.27,1408.04,562.91,174.48,17.39,1,0.21,191.87,11,2.35,51,
"Rafael Pavani",Session,0,4.6,-4.36,19,25,44,0.33,02:11:22,8851.03,919.8,32.37,90.93,67.37,7,0.09,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,821.98,969.36,205,4630.21,2714.6,759.61,333.49,206.4,8,1.57,539.89,21,4.11,55,
"Vitor Santos",Session,0,4.6,-6.45,36,39,75,0.57,02:11:22,11118.75,1161.07,31.44,97.64,84.63,8.84,0.13,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,985.66,1365.36,211.79,5722.29,3417.74,1231.12,395.34,139.76,8,1.06,535.1,31,4.07,119,
"Jeferson Tavares",Session,0,3.46,-4.47,10,6,16,0.45,00:35:21,1707.33,206.3,24.29,80.99,48.3,5.84,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,138.11,359.41,124.36,793.9,258.35,133.28,397.06,0,0,0,397.06,12,11.23,3,
"Railson Vieira",Session,0,3.76,-4.28,12,6,18,0.51,00:35:21,1992.19,221.62,24.89,90.42,56.35,6.27,0.07,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,217.19,375.69,91.91,1063.25,236.9,227.49,372.9,0,0,0,372.9,11,10.55,23,
"Lee Winston",Session,0,4.25,-3.72,11,5,16,0.12,02:11:22,5867.98,502.54,20.81,87.81,44.66,3.83,0.01,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,602.52,162.42,250.25,4556.2,964.85,91.38,4.22,0,0,0,4.22,0,0.03,67,
"Gustavo Índio",Session,0,4.41,-5.43,23,36,59,0.45,02:11:22,9726.71,1094.29,33.84,100,74.03,8.33,0.1,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,935.1,1238.39,197.83,5229.98,2605.43,1057.02,450.49,185.85,10,1.41,636.34,36,4.84,262,
"Matheus Arcanjo",Aquecimento,1,5.13,-3.98,4,4,8,0.31,00:26:07,1238.25,146.8,23.94,71.07,47.41,5.62,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,130.45,92.93,88.7,791.4,272.65,57.49,27.36,0,0,0,27.36,3,1.05,9,
"Gabriel Bozzolan",Aquecimento,1,3.02,-4.39,1,4,5,0.19,00:26:07,1216.3,155.14,21.56,64.51,46.57,5.94,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,106.69,108.48,81.73,782.88,276.93,62.09,12.67,0,0,0,12.67,1,0.49,21,
"Bruno Carcaioli",Aquecimento,1,3.49,-2.42,1,0,1,0.04,00:26:07,1181.93,102.86,19.05,77.85,45.25,3.94,0.01,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,103.94,34.4,48.54,869.24,251.12,13.04,0,0,0,0,0,0,0,8,
"Caio Dias",Aquecimento,1,3.93,-3.25,2,1,3,0.11,00:26:07,1481.2,183.7,18.12,50.32,56.71,7.03,0.07,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,126.3,81.5,83.82,861.9,439.89,95.66,0,0,0,0,0,0,0,5,
"Miguel Elias",Aquecimento,1,4.06,-2.95,3,0,3,0.11,00:26:07,1176.69,167.21,17.26,55.99,45.05,6.4,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,94.1,61.65,77.1,798.74,264.23,36.62,0,0,0,0,0,0,0,17,
"Camilo Farias",Aquecimento,1,4.14,-3.57,2,1,3,0.11,00:26:07,1289.02,166.21,19.54,64.98,49.35,6.36,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,109.47,84.42,75.3,888.6,232.74,92.38,0,0,0,0,0,0,0,7,
"Gabriel Fonseca Rodrigues",Aquecimento,1,3.22,-3.43,1,3,4,0.15,00:26:07,1123.98,156.53,21.93,68.71,43.04,5.99,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,93.82,62.52,74.92,695.36,309.56,30.84,13.3,0,0,0,13.3,1,0.51,16,
"Mauri Franco",Aquecimento,1,2.71,-3.12,0,1,1,0.04,00:26:07,1171.22,145.75,16.78,51.54,44.84,5.58,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,83.67,41,93.7,765.35,304.8,7.37,0,0,0,0,0,0,0,4,
"Lucas Franco",Aquecimento,1,3.57,-3.53,4,5,9,0.34,00:26:07,1255.57,159.74,24.81,79.01,48.07,6.12,0.04,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,114.52,124.26,82.85,774.71,271.88,81.51,44.6,0,0,0,44.6,2,1.71,13,
"Jean Gaucho",Aquecimento,1,3.27,-3.59,1,3,4,0.15,00:26:07,1230.81,172.79,20.24,62.43,47.13,6.62,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,110.58,76.88,94.73,795.82,281.73,54.25,4.29,0,0,0,4.29,0,0.16,7,
"Enzo Mendes",Aquecimento,1,3.18,-2.57,1,0,1,0.04,00:26:07,1188.52,132.68,16.9,54.19,45.51,5.08,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,110.6,38.1,81.15,893.81,192.75,20.75,0,0,0,0,0,0,0,2,
"José Mendes",Aquecimento,1,3.88,-2.97,2,0,2,0.08,00:26:07,1366.86,185.89,17.78,56.31,52.33,7.12,0.03,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,131.05,39.78,87.44,859.89,397.5,21.77,0,0,0,0,0,0,0,28,
